MF,,,,
binding (GO:0005488),4,30.80%,28.60%,
catalytic activity (GO:0003824),1,7.70%,7.10%,
,,,,
,,,,
BP,,,,
cellular process (GO:0009987),2,15.40%,13.30%,
metabolic process (GO:0008152),1,7.70%,6.70%,
biological regulation (GO:0065007),2,15.40%,13.30%,
localization (GO:0051179),1,7.70%,6.70%,
,,,,
CC,,,,
cellular anatomical entity (GO:0110165),5,38.50%,33.30%,
protein-containing complex (GO:0032991),2,15.40%,13.30%,
,,,,
,,,,
Protein class,,,,
"chromatin/chromatin-binding, or -regulatory protein (PC00077)",1,7.70%,7.70%,
translational protein (PC00263),1,7.70%,7.70%,
scaffold/adaptor protein (PC00226),1,7.70%,7.70%,
RNA metabolism protein (PC00031),2,15.40%,15.40%,
membrane traffic protein (PC00150),1,7.70%,7.70%,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
